Half,time,team,player,event,against,notes
1,1,0,Cheihk,2pt_attempt,,
1,2,0,Cheihk,2pt_made,,
1,2,0,Cheihk,2pt_made,,
1,3,0,Cheihk,3pt_attempt,,
1,4,0,Cheihk,3pt_attempt,,
1,5,0,Cheihk,3pt_attempt,,
1,6,0,Cheihk,3pt_attempt,,
1,7,0,Cheihk,3pt_attempt,,
1,8,0,Cheihk,3pt_made,,
1,9,0,Cheihk,ft_attempt,,
1,10,0,Cheihk,offensive_rebound,,
1,11,0,Cheihk,defensive_rebound,,
1,12,0,Cheihk,defensive_rebound,,
1,13,0,Cheihk,defensive_rebound,,
1,14,0,Cheihk,turnover,,
1,14,0,Cheihk,turnover,,
1,15,0,Cheihk,assist,,
1,15,0,Cheihk,assist,,
1,16,0,Cheihk,steal,,
1,17,0,Cheihk,block,,
1,18,0,Dylan,2pt_attempt,,
1,18,0,Dylan,2pt_attempt,,
1,19,0,Dylan,2pt_made,,
1,20,0,Dylan,3pt_attempt,,
1,21,0,Dylan,3pt_attempt,,
1,22,0,Dylan,3pt_attempt,,
1,23,0,Dylan,3pt_made,,
1,24,0,Dylan,3pt_made,,
1,25,0,Dylan,ft_made,,
1,26,0,Dylan,ft_made,,
1,27,0,Dylan,ft_made,,
1,28,0,Dylan,ft_made,,
1,29,0,Dylan,ft_made,,
1,31,0,Dylan,offensive_rebound,,
1,32,0,Dylan,offensive_rebound,,
1,33,0,Dylan,offensive_rebound,,
1,34,0,Dylan,defensive_rebound,,
1,35,0,Dylan,defensive_rebound,,
1,36,0,Dylan,defensive_rebound,,
1,37,0,Dylan,defensive_rebound,,
1,38,0,Dylan,turnover,,
1,38,0,Dylan,turnover,,
1,39,0,Dylan,assist,,
1,40,0,Dylan,steal,,
1,41,0,Dylan,block,,
1,42,0,Dylan,block,,
1,43,0,Kelo,2pt_attempt,,
1,44,0,Kelo,2pt_attempt,,
1,46,0,Kelo,2pt_made,,
1,47,0,Kelo,2pt_made,,
1,48,0,Kelo,2pt_made,,
1,49,0,Kelo,2pt_made,,
1,50,0,Kelo,2pt_made,,
1,51,0,Kelo,3pt_attempt,,
1,52,0,Kelo,3pt_attempt,,
1,53,0,Kelo,3pt_attempt,,
1,54,0,Kelo,3pt_attempt,,
1,55,0,Kelo,3pt_attempt,,
1,55,0,Kelo,3pt_attempt,,
1,55,0,Kelo,3pt_attempt,,
1,56,0,Kelo,3pt_made,,
1,57,0,Kelo,3pt_made,,
1,58,0,Kelo,3pt_made,,
1,59,0,Kelo,3pt_made,,
1,59,0,Kelo,3pt_made,,
1,59,0,Kelo,3pt_made,,
1,60,0,Kelo,ft_made,,
1,60,0,Kelo,ft_made,,
1,61,0,Kelo,defensive_rebound,,
1,62,0,Kelo,defensive_rebound,,
1,63,0,Kelo,defensive_rebound,,
1,64,0,Kelo,defensive_rebound,,
1,65,0,Kelo,turnover,,
1,65,0,Kelo,turnover,,
1,66,0,Kelo,assist,,
1,66,0,Kelo,assist,,
1,66,0,Kelo,assist,,
1,67,0,Tyriq,2pt_attempt,,
1,68,0,Tyriq,2pt_made,,
1,68,0,Tyriq,2pt_made,,
1,69,0,Tyriq,3pt_attempt,,
1,70,0,Tyriq,3pt_made,,
1,71,0,Tyriq,3pt_made,,
1,72,0,Tyriq,offensive_rebound,,
1,73,0,Tyriq,defensive_rebound,,
1,74,0,Tyriq,defensive_rebound,,
1,75,0,Tyriq,steal,,
1,77,0,Cordell,2pt_attempt,,
1,78,0,Cordell,2pt_attempt,,
1,79,0,Cordell,2pt_attempt,,
1,78,0,Cordell,2pt_attempt,,
1,78,0,Cordell,2pt_attempt,,
1,80,0,Cordell,2pt_made,,
1,81,0,Cordell,2pt_made,,
1,82,0,Cordell,2pt_made,,
1,83,0,Cordell,ft_attempt,,
1,83,0,Cordell,ft_attempt,,
1,84,0,Cordell,defensive_rebound,,
1,85,0,Cordell,defensive_rebound,,
1,86,0,Cordell,defensive_rebound,,
1,87,0,Cordell,defensive_rebound,,
1,84,0,Cordell,defensive_rebound,,
1,84,0,Cordell,defensive_rebound,,
1,84,0,Cordell,defensive_rebound,,
1,88,0,Cordell,block,,
1,89,0,Cordell,turnover,,
1,89,0,Cordell,turnover,,
1,90,0,Cordell,assist,,
1,91,0,Pope,2pt_attempt,,
1,92,0,Pope,2pt_made,,
1,93,0,Pope,3pt_attempt,,
1,94,0,Pope,ft_attempt,,
1,95,0,Pope,ft_made,,
1,96,0,Pope,defensive_rebound,,
1,97,0,Pope,defensive_rebound,,
1,98,0,Pope,defensive_rebound,,
1,99,0,Pope,assist,,
1,99,0,Pope,assist,,
1,100,0,Pope,turnover,,
1,100,0,Pope,turnover,,
1,100,0,Pope,turnover,,
1,101,0,Eman,2pt_attempt,,
1,102,0,Eman,2pt_attempt,,
1,103,0,Eman,2pt_made,,
1,104,0,Eman,2pt_made,,
1,105,0,Eman,defensive_rebound,,
1,106,0,Eman,turnover,,
1,107,0,Eman,assist,,